"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"MGAM",4.28204939611897e-38,4.07094498340756,0.326,0.028,1.28461481883569e-34,"X9_NK1","MGAM"
"C9orf1721",9.34734537761653e-36,0.90581645427257,0.397,0.052,2.80420361328496e-32,"X9_NK1","C9orf172"
"CRIM1",9.35433266010378e-36,3.04814074120759,0.407,0.081,2.80629979803113e-32,"X9_NK1","CRIM1"
"SSX2IP",1.30025087796251e-35,1.49217068195231,0.315,0.104,3.90075263388754e-32,"X9_NK1","SSX2IP"
"IL12RB2",1.78727483064226e-35,2.45661638380538,0.347,0.036,5.36182449192677e-32,"X9_NK1","IL12RB2"
"S100B1",7.51826375778401e-35,2.02871115258104,0.215,0.046,2.2554791273352e-31,"X9_NK1","S100B"
"PAK61",4.67137826824188e-34,2.08318925243073,0.348,0.024,1.40141348047256e-30,"X9_NK1","PAK6"
"RP11-308N19.1",9.68240413577307e-34,3.51755875864505,0.237,0.004,2.90472124073192e-30,"X9_NK1","RP11-308N19.1"
"CAPN5",1.70241577618349e-33,3.08640895005465,0.324,0.061,5.10724732855047e-30,"X9_NK1","CAPN5"
"PIM12",2.33636868026774e-33,0.86408277293355,0.405,0.281,7.00910604080321e-30,"X9_NK1","PIM1"
"CD961",4.33235882236783e-32,0.796947068668588,0.396,0.241,1.29970764671035e-28,"X9_NK1","CD96"
"GOLGA41",7.20544074688768e-32,0.454660716297886,0.46,0.321,2.16163222406631e-28,"X9_NK1","GOLGA4"
"ITPRIPL11",9.0788130452207e-32,1.35814061470784,0.339,0.065,2.72364391356621e-28,"X9_NK1","ITPRIPL1"
"AC131056.3",1.32078208725006e-31,1.92532207198006,0.349,0.044,3.96234626175019e-28,"X9_NK1","AC131056.3"
"VANGL1",1.86567873044398e-31,7.24740384296176,0.32,0.07,5.59703619133193e-28,"X9_NK1","VANGL1"
"KIR2DL4",1.64726953673042e-30,1.44306047504234,0.292,0.011,4.94180861019125e-27,"X9_NK1","KIR2DL4"
"TKTL1",1.97651866123292e-30,7.15435027558952,0.156,0.099,5.92955598369875e-27,"X9_NK1","TKTL1"
"AC069363.1",6.72435714576723e-30,2.90508107025413,0.315,0.011,2.01730714373017e-26,"X9_NK1","AC069363.1"
"MT2A1",8.94425958638225e-30,2.92949482561671,0.474,0.312,2.68327787591468e-26,"X9_NK1","MT2A"
"FSD1",8.97718102864899e-30,3.9976073117447,0.284,0.054,2.6931543085947e-26,"X9_NK1","FSD1"
"SLC1A7",9.119198959009e-30,2.24884150335448,0.305,0.019,2.7357596877027e-26,"X9_NK1","SLC1A7"
"ST5",1.79825104837241e-29,3.48981791701709,0.307,0.007,5.39475314511723e-26,"X9_NK1","ST5"
"ZNF35",3.58278127339248e-29,3.12987596567682,0.384,0.105,1.07483438201774e-25,"X9_NK1","ZNF35"
"AGAP11",7.29337303294328e-29,2.41416200002448,0.335,0.054,2.18801190988298e-25,"X9_NK1","AGAP1"
"IFNL1",1.69045332848272e-28,7.01812000934422,0.278,0.038,5.07135998544816e-25,"X9_NK1","IFNL1"
"ATP1B3",1.78339251084886e-28,1.23071960382836,0.304,0.231,5.35017753254657e-25,"X9_NK1","ATP1B3"
"LRRC43",2.77462833057614e-28,3.73219143851268,0.233,0.008,8.32388499172843e-25,"X9_NK1","LRRC43"
"ANKRD20A4",2.8347102407922e-28,5.71962213860586,0.276,0.036,8.50413072237659e-25,"X9_NK1","ANKRD20A4"
"HOXB3",1.74672507272823e-27,2.05702746823697,0.387,0.09,5.24017521818469e-24,"X9_NK1","HOXB3"
"APOBEC3H",3.06025512833274e-27,1.84479446513093,0.37,0.072,9.18076538499821e-24,"X9_NK1","APOBEC3H"
"SPRY2",3.55267680103722e-27,2.18037090642055,0.299,0.024,1.06580304031117e-23,"X9_NK1","SPRY2"
"LANCL3",4.93084982579693e-27,3.85671355460581,0.307,0.029,1.47925494773908e-23,"X9_NK1","LANCL3"
"ATP9A1",5.89285671609228e-27,2.27130147298535,0.303,0.032,1.76785701482768e-23,"X9_NK1","ATP9A"
"PROX2",1.46347215622387e-26,3.91718447689016,0.17,0.006,4.39041646867162e-23,"X9_NK1","PROX2"
"RP11-326C3.15",1.6334661926923e-26,2.9311846159411,0.249,0.043,4.90039857807689e-23,"X9_NK1","RP11-326C3.15"
"HOXA10",1.95273271011769e-26,1.74905323677181,0.334,0.043,5.85819813035308e-23,"X9_NK1","HOXA10"
"COL6A2",5.4877745691255e-26,2.24405829736177,0.278,0.083,1.64633237073765e-22,"X9_NK1","COL6A2"
"RANBP17",8.90213341330612e-26,4.23767737301194,0.261,0.026,2.67064002399184e-22,"X9_NK1","RANBP17"
"TUBB1",1.03199586584414e-25,3.19655536588154,0.376,0.331,3.09598759753241e-22,"X9_NK1","TUBB"
"AC009495.2",5.60706740364338e-25,1.46945670763914,0.326,0.038,1.68212022109301e-21,"X9_NK1","AC009495.2"
"RP11-549B18.1",6.80402554811653e-25,2.86500930294979,0.314,0.026,2.04120766443496e-21,"X9_NK1","RP11-549B18.1"
"AAK12",9.85383991533368e-25,0.422452242982021,0.492,0.399,2.9561519746001e-21,"X9_NK1","AAK1"
"LAX11",1.33306288608421e-24,2.40161032116414,0.333,0.118,3.99918865825264e-21,"X9_NK1","LAX1"
