"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS3A",0,0.723775353894618,0.937,0.47,0,"X6_CD4_5","RPS3A"
"RPL30",0,0.651406183957261,0.914,0.49,0,"X6_CD4_5","RPL30"
"SARAF",8.00880411908661e-321,1.10976554844417,0.789,0.422,2.40264123572598e-317,"X6_CD4_5","SARAF"
"RPL32",1.2553247201958e-315,0.565336192277123,0.922,0.487,3.76597416058741e-312,"X6_CD4_5","RPL32"
"TPT1",2.64567020005927e-315,0.601416578278488,0.919,0.469,7.93701060017782e-312,"X6_CD4_5","TPT1"
"TCF7",6.99640950365962e-280,1.09287218366114,0.786,0.37,2.09892285109789e-276,"X6_CD4_5","TCF7"
"RPS6",7.05944778429701e-271,0.544673603272926,0.887,0.472,2.1178343352891e-267,"X6_CD4_5","RPS6"
"RPL21",4.25071867275532e-266,0.550498062660536,0.865,0.479,1.2752156018266e-262,"X6_CD4_5","RPL21"
"LDHB",6.42912159868317e-262,0.876132174209592,0.811,0.417,1.92873647960495e-258,"X6_CD4_5","LDHB"
"RPL34",1.90888793320349e-254,0.512869280821472,0.876,0.482,5.72666379961048e-251,"X6_CD4_5","RPL34"
"RPS12",1.61813957317513e-243,0.416864734487963,0.902,0.486,4.8544187195254e-240,"X6_CD4_5","RPS12"
"RPS8",2.4567846679984e-233,0.546109737635294,0.828,0.481,7.37035400399521e-230,"X6_CD4_5","RPS8"
"RPS25",1.33652938432868e-231,0.48785009516615,0.836,0.487,4.00958815298605e-228,"X6_CD4_5","RPS25"
"LINC00861",1.19856360773237e-225,2.04912203263552,0.747,0.368,3.5956908231971e-222,"X6_CD4_5","LINC00861"
"RPLP2",3.69863216952685e-218,0.467060428046721,0.814,0.478,1.10958965085806e-214,"X6_CD4_5","RPLP2"
"FHIT",1.06027368679909e-214,3.49805040277366,0.477,0.135,3.18082106039726e-211,"X6_CD4_5","FHIT"
"GIMAP7",1.28490569830878e-210,1.15497325988247,0.76,0.459,3.85471709492633e-207,"X6_CD4_5","GIMAP7"
"NPM1",3.53090945471849e-201,0.723198498791603,0.756,0.439,1.05927283641555e-197,"X6_CD4_5","NPM1"
"IL6ST",1.61475619777753e-195,1.48738552604825,0.607,0.249,4.8442685933326e-192,"X6_CD4_5","IL6ST"
"PIK3IP1",2.66073470510663e-194,1.37867461119603,0.669,0.364,7.98220411531989e-191,"X6_CD4_5","PIK3IP1"
"RPL31",4.0673022442899e-192,0.618524186021234,0.738,0.445,1.22019067328697e-188,"X6_CD4_5","RPL31"
"TSHZ2",8.20691451467544e-189,4.30352469850742,0.459,0.132,2.46207435440263e-185,"X6_CD4_5","TSHZ2"
"RPS3",1.50216292844966e-186,0.40922283186977,0.817,0.511,4.50648878534899e-183,"X6_CD4_5","RPS3"
"RPS27",3.85150685137737e-184,0.417243240044684,0.834,0.536,1.15545205541321e-180,"X6_CD4_5","RPS27"
"RPL3",4.00004362648867e-181,0.397543073937149,0.841,0.515,1.2000130879466e-177,"X6_CD4_5","RPL3"
"RPL10",8.70610810146635e-181,0.389138193718397,0.806,0.498,2.61183243043991e-177,"X6_CD4_5","RPL10"
"LEF1",1.24268233316549e-179,2.90545554203516,0.615,0.274,3.72804699949648e-176,"X6_CD4_5","LEF1"
"RPL13",2.85259436711983e-175,0.283458398523261,0.856,0.515,8.55778310135949e-172,"X6_CD4_5","RPL13"
"EEF1A1",1.20101036267012e-174,0.349825614309822,0.835,0.501,3.60303108801035e-171,"X6_CD4_5","EEF1A1"
"CAMK4",1.10447486588987e-173,1.48409437134831,0.571,0.253,3.3134245976696e-170,"X6_CD4_5","CAMK4"
"C12orf57",2.12083291750435e-173,0.798870480855595,0.67,0.399,6.36249875251305e-170,"X6_CD4_5","C12orf57"
"C6orf48",3.37518999699732e-170,0.992745593360629,0.708,0.414,1.0125569990992e-166,"X6_CD4_5","C6orf48"
"RCAN3",9.21674855416715e-166,0.730472343699839,0.648,0.314,2.76502456625015e-162,"X6_CD4_5","RCAN3"
"RPS4X",4.83869358453486e-163,0.391415155395409,0.8,0.492,1.45160807536046e-159,"X6_CD4_5","RPS4X"
"EEF1B2",6.7642762478649e-151,0.425404414679375,0.756,0.448,2.02928287435947e-147,"X6_CD4_5","EEF1B2"
"BTG1",3.55397493416956e-141,0.436405899694418,0.677,0.42,1.06619248025087e-137,"X6_CD4_5","BTG1"
"BCL11B",4.47287098643573e-141,1.96798363085476,0.628,0.333,1.34186129593072e-137,"X6_CD4_5","BCL11B"
"NOSIP",1.26729960991347e-139,0.295904571828274,0.669,0.369,3.80189882974042e-136,"X6_CD4_5","NOSIP"
"MAL",9.29542975745802e-138,3.4576961859572,0.548,0.251,2.7886289272374e-134,"X6_CD4_5","MAL"
"CHRM3-AS2",1.83360971323589e-127,1.76643001629752,0.425,0.142,5.50082913970766e-124,"X6_CD4_5","CHRM3-AS2"
"SATB1",2.08888740644968e-113,2.87671380789958,0.5,0.263,6.26666221934903e-110,"X6_CD4_5","SATB1"
"OXNAD1",1.03168858796857e-110,1.34802496708523,0.524,0.252,3.09506576390571e-107,"X6_CD4_5","OXNAD1"
"RGCC",1.16677177167681e-99,0.498870376777528,0.488,0.245,3.50031531503044e-96,"X6_CD4_5","RGCC"
"CD3E",8.35007594518004e-91,0.508821627735137,0.62,0.421,2.50502278355401e-87,"X6_CD4_5","CD3E"
"TESPA1",1.11976784124435e-88,0.725814308718046,0.452,0.217,3.35930352373305e-85,"X6_CD4_5","TESPA1"
"FYB",5.76401415409219e-88,0.435471981162245,0.623,0.421,1.72920424622766e-84,"X6_CD4_5","FYB"
"GCC2",2.66152869426003e-84,0.739147188279192,0.585,0.371,7.9845860827801e-81,"X6_CD4_5","GCC2"
"LRRN3",6.31279305961496e-84,1.57679350728409,0.366,0.124,1.89383791788449e-80,"X6_CD4_5","LRRN3"
"ATM",1.91896748119821e-83,0.623852477911351,0.542,0.37,5.75690244359463e-80,"X6_CD4_5","ATM"
"SELL",1.53267111811187e-80,0.629215819633046,0.603,0.384,4.5980133543356e-77,"X6_CD4_5","SELL"
"GIMAP1",1.24581005789914e-79,0.720940921949159,0.579,0.395,3.73743017369741e-76,"X6_CD4_5","GIMAP1"
"MLLT3",2.81876482326447e-78,0.270875802046783,0.359,0.184,8.45629446979341e-75,"X6_CD4_5","MLLT3"
"ETS1",1.02112917332117e-77,0.291695889077352,0.606,0.383,3.06338751996352e-74,"X6_CD4_5","ETS1"
"ITGA6",2.21485489680724e-72,0.681812038755067,0.415,0.192,6.64456469042172e-69,"X6_CD4_5","ITGA6"
"SNHG8",1.85498483865608e-71,0.320885648788505,0.604,0.392,5.56495451596824e-68,"X6_CD4_5","SNHG8"
"IPCEF1",1.39040896368921e-58,0.816848072766045,0.403,0.2,4.17122689106763e-55,"X6_CD4_5","IPCEF1"
"AP000769.1",6.42448567224201e-55,0.578189580153086,0.486,0.26,1.9273457016726e-51,"X6_CD4_5","AP000769.1"
"GIMAP4",1.03864292261356e-48,0.253840116427052,0.575,0.428,3.11592876784067e-45,"X6_CD4_5","GIMAP4"
"PRMT2",3.22173682880739e-44,0.912558442930262,0.551,0.39,9.66521048642216e-41,"X6_CD4_5","PRMT2"
"RPS26",4.50560534924863e-42,0.274814390134733,0.223,0.382,1.35168160477459e-38,"X6_CD4_5","RPS26"
"ACTN1",1.60416806515198e-41,0.86713159844342,0.312,0.207,4.81250419545594e-38,"X6_CD4_5","ACTN1"
"SLC16A10",1.03612776184638e-40,4.15474307237351,0.274,0.11,3.10838328553914e-37,"X6_CD4_5","SLC16A10"
"ITK",3.18390782404028e-37,1.44886166544071,0.336,0.227,9.55172347212085e-34,"X6_CD4_5","ITK"
"NGFRAP1",4.30575887349159e-37,2.00013246273788,0.24,0.133,1.29172766204748e-33,"X6_CD4_5","NGFRAP1"
"LCK",1.40905556748998e-35,0.299348191521288,0.583,0.429,4.22716670246994e-32,"X6_CD4_5","LCK"
"FAM101B",4.93401288550896e-33,1.81544903637428,0.428,0.258,1.48020386565269e-29,"X6_CD4_5","FAM101B"
"CHI3L2",2.07159281015211e-31,1.34129216330289,0.194,0.124,6.21477843045632e-28,"X6_CD4_5","CHI3L2"
"LAT",2.43161021120841e-30,1.08494840667757,0.438,0.32,7.29483063362522e-27,"X6_CD4_5","LAT"
"INPP4B",1.37245050200811e-28,1.33722548475091,0.345,0.216,4.11735150602432e-25,"X6_CD4_5","INPP4B"
"PDE3B",1.52606490212708e-27,0.46300838084237,0.336,0.223,4.57819470638124e-24,"X6_CD4_5","PDE3B"
"ANK3",1.3495578401529e-26,0.535593344912128,0.257,0.155,4.04867352045869e-23,"X6_CD4_5","ANK3"
"EPHB6",3.27240111824634e-26,1.72381583917061,0.244,0.136,9.81720335473901e-23,"X6_CD4_5","EPHB6"
"TNFRSF25",9.5453635570175e-24,3.92154916463589,0.289,0.195,2.86360906710525e-20,"X6_CD4_5","TNFRSF25"
"SPOCK2",7.44192880551312e-23,1.58184439368935,0.472,0.348,2.23257864165394e-19,"X6_CD4_5","SPOCK2"
"PASK",9.22522628122165e-23,1.49869915607137,0.201,0.137,2.76756788436649e-19,"X6_CD4_5","PASK"
"PIM2",2.60047479723839e-22,1.37710346199623,0.275,0.187,7.80142439171518e-19,"X6_CD4_5","PIM2"
"CD6",1.60152086193416e-21,0.379164512402669,0.288,0.215,4.80456258580249e-18,"X6_CD4_5","CD6"
"TPR",5.70428903869372e-19,1.14410223723022,0.46,0.372,1.71128671160812e-15,"X6_CD4_5","TPR"
"HSPB1",1.35466845987337e-17,1.7388377624151,0.306,0.237,4.06400537962011e-14,"X6_CD4_5","HSPB1"
"SERPINE2",9.94052613917812e-17,7.33498626693202,0.185,0.067,2.98215784175343e-13,"X6_CD4_5","SERPINE2"
"BCL2",2.31805239497377e-16,2.73313124577832,0.325,0.272,6.95415718492132e-13,"X6_CD4_5","BCL2"
"GRAP2",1.69500146175846e-14,2.20799100779438,0.251,0.206,5.08500438527537e-11,"X6_CD4_5","GRAP2"
"IL24",2.6303483748158e-11,1.21699028394052,0.289,0.114,7.89104512444739e-08,"X6_CD4_5","IL24"
"ZNF37A",1.04252002833094e-10,1.37916215277989,0.238,0.194,3.12756008499282e-07,"X6_CD4_5","ZNF37A"
"NELL2",1.34933016321681e-10,0.841609675266743,0.206,0.148,4.04799048965043e-07,"X6_CD4_5","NELL2"
"AC097713.4",6.50452947181048e-10,2.75814889813693,0.202,0.075,1.95135884154315e-06,"X6_CD4_5","AC097713.4"
"TNIK",1.37999296793005e-09,1.05708940937604,0.209,0.181,4.13997890379016e-06,"X6_CD4_5","TNIK"
"RP11-475O6.1",5.25740176044773e-09,1.47235947188033,0.228,0.08,1.57722052813432e-05,"X6_CD4_5","RP11-475O6.1"
"RP11-214O1.3",9.36192425571628e-09,2.0703478508805,0.217,0.126,2.80857727671488e-05,"X6_CD4_5","RP11-214O1.3"
"PHKG1",5.8178037404408e-08,1.34284258182232,0.22,0.131,0.000174534112213224,"X6_CD4_5","PHKG1"
"RP11-403B2.7",9.451499159014e-08,1.74689245066797,0.134,0.045,0.00028354497477042,"X6_CD4_5","RP11-403B2.7"
"ZDHHC15",4.17620751532052e-07,0.608807725992612,0.151,0.044,0.00125286225459616,"X6_CD4_5","ZDHHC15"
"DNTT",7.32575863257301e-07,2.42719739640517,0.148,0.028,0.0021977275897719,"X6_CD4_5","DNTT"
"ZNF662",1.04787381470955e-06,3.39305420882251,0.132,0.038,0.00314362144412866,"X6_CD4_5","ZNF662"
"WBP5",1.89231348063315e-06,1.26346016545499,0.187,0.081,0.00567694044189944,"X6_CD4_5","WBP5"
"RP11-927P21.1",2.34244991875021e-06,1.29075296617274,0.184,0.048,0.00702734975625064,"X6_CD4_5","RP11-927P21.1"
"ESF1",4.82178721268384e-06,1.52505766474882,0.23,0.215,0.0144653616380515,"X6_CD4_5","ESF1"
"SLC40A1",9.01708789523087e-06,1.52508906948536,0.171,0.13,0.0270512636856926,"X6_CD4_5","SLC40A1"
"NRG4",1.00854300512008e-05,1.41445516700506,0.188,0.093,0.0302562901536023,"X6_CD4_5","NRG4"
"TUSC3",1.09829735825344e-05,1.88771743238752,0.109,0.014,0.0329489207476031,"X6_CD4_5","TUSC3"
"AJUBA",1.10462211335095e-05,1.29671507738861,0.123,0.022,0.0331386634005284,"X6_CD4_5","AJUBA"
"C9orf135",1.76064776162537e-05,1.66471810403222,0.159,0.058,0.0528194328487612,"X6_CD4_5","C9orf135"
"CASC15",1.8825031586252e-05,2.68044163221228,0.127,0.05,0.056475094758756,"X6_CD4_5","CASC15"
"TOM1L1",3.74079334147476e-05,0.698719705218661,0.172,0.054,0.112223800244243,"X6_CD4_5","TOM1L1"
"ZNF107",6.29203337700497e-05,1.30709812703287,0.195,0.166,0.188761001310149,"X6_CD4_5","ZNF107"
"LRP6",0.000109426211481684,2.5206602835782,0.181,0.101,0.328278634445052,"X6_CD4_5","LRP6"
"AC104820.2",0.000143226967910078,4.77981828423602,0.204,0.139,0.429680903730234,"X6_CD4_5","AC104820.2"
"TOX2",0.00019110135124925,3.04482417646556,0.108,0.056,0.573304053747749,"X6_CD4_5","TOX2"
"ASB16",0.00020064487258393,2.42853582029949,0.192,0.059,0.601934617751791,"X6_CD4_5","ASB16"
"FILIP1",0.000201159586235026,1.56675182362312,0.178,0.089,0.603478758705078,"X6_CD4_5","FILIP1"
"CXADR",0.000246115724609717,1.62139173595043,0.107,0.032,0.73834717382915,"X6_CD4_5","CXADR"
"DACT1",0.000257516255316592,1.66236197621754,0.159,0.066,0.772548765949777,"X6_CD4_5","DACT1"
"RP11-580I16.2",0.000474248789095237,0.999243230454434,0.182,0.077,1,"X6_CD4_5","RP11-580I16.2"
"ZNRF3",0.000611210751184479,2.18932443728545,0.134,0.048,1,"X6_CD4_5","ZNRF3"
"FAM218A",0.000788328744384647,0.727652495070368,0.164,0.095,1,"X6_CD4_5","FAM218A"
"PRG4",0.000793968020965777,2.71975444373436,0.134,0.054,1,"X6_CD4_5","PRG4"
"RP3-453C12.15",0.000867120232602085,5.37425961076453,0.103,0.095,1,"X6_CD4_5","RP3-453C12.15"
"CA6",0.000933274304257372,1.98348239233101,0.125,0.06,1,"X6_CD4_5","CA6"
"RP11-264B17.4",0.00121247556042486,1.31763330781126,0.118,0.047,1,"X6_CD4_5","RP11-264B17.4"
"RPGRIP1L",0.00219689025271587,2.21193466779123,0.124,0.106,1,"X6_CD4_5","RPGRIP1L"
"LGALS14",0.00234641439074141,1.003150326193,0.117,0.042,1,"X6_CD4_5","LGALS14"
"DENND2C",0.00252764319513052,2.59505767862884,0.161,0.063,1,"X6_CD4_5","DENND2C"
"DHDH",0.00429655695752694,0.846155931056963,0.145,0.048,1,"X6_CD4_5","DHDH"
"ARHGAP44",0.00763914915804117,1.99292112448545,0.14,0.089,1,"X6_CD4_5","ARHGAP44"
"JUNB",0,12.3434120981795,0.839,0.323,0,"X12_CD14Mono_InterM","JUNB"
"TNFSF13B",0,10.2276691303913,0.893,0.131,0,"X12_CD14Mono_InterM","TNFSF13B"
"PID1",0,9.97290411253618,0.56,0.035,0,"X12_CD14Mono_InterM","PID1"
"DUSP6",0,8.98428272925693,0.955,0.11,0,"X12_CD14Mono_InterM","DUSP6"
"S100A10",0,7.80030823323356,0.873,0.342,0,"X12_CD14Mono_InterM","S100A10"
"CLEC7A",0,6.64492731293492,0.933,0.108,0,"X12_CD14Mono_InterM","CLEC7A"
"MARCKS",0,6.4051709755178,0.907,0.139,0,"X12_CD14Mono_InterM","MARCKS"
"TYMP",0,5.96561715887821,0.991,0.183,0,"X12_CD14Mono_InterM","TYMP"
"NCF1",0,5.93141030905762,0.83,0.243,0,"X12_CD14Mono_InterM","NCF1"
"CD300E",0,5.90617638358328,0.847,0.091,0,"X12_CD14Mono_InterM","CD300E"
"CEBPD",0,5.40151212417599,0.916,0.167,0,"X12_CD14Mono_InterM","CEBPD"
"IGSF6",0,5.25320374581773,0.959,0.114,0,"X12_CD14Mono_InterM","IGSF6"
"TNFAIP2",0,5.18931634967054,0.954,0.104,0,"X12_CD14Mono_InterM","TNFAIP2"
"CD1D",0,5.11196888338954,0.682,0.076,0,"X12_CD14Mono_InterM","CD1D"
"SLC7A7",0,4.63663138123941,0.893,0.1,0,"X12_CD14Mono_InterM","SLC7A7"
"ATP6V1B2",0,4.51038061641239,0.819,0.14,0,"X12_CD14Mono_InterM","ATP6V1B2"
"TYROBP",0,4.41225305236033,0.999,0.207,0,"X12_CD14Mono_InterM","TYROBP"
"TNFSF10",0,4.28766303875179,0.918,0.259,0,"X12_CD14Mono_InterM","TNFSF10"
"CPPED1",0,4.26109228695748,0.875,0.113,0,"X12_CD14Mono_InterM","CPPED1"
"TKT",0,4.21706955124183,0.979,0.236,0,"X12_CD14Mono_InterM","TKT"
"EMILIN2",0,4.0392396182695,0.781,0.101,0,"X12_CD14Mono_InterM","EMILIN2"
"AOAH",0,4.02960372177875,0.877,0.175,0,"X12_CD14Mono_InterM","AOAH"
"WARS",0,3.93679232860672,0.82,0.103,0,"X12_CD14Mono_InterM","WARS"
"TMEM176B",0,3.86651247823147,0.851,0.086,0,"X12_CD14Mono_InterM","TMEM176B"
"CTSH",0,3.80412108474534,0.907,0.164,0,"X12_CD14Mono_InterM","CTSH"
"CTSS",0,3.69396276918581,1,0.131,0,"X12_CD14Mono_InterM","CTSS"
"RNF130",0,3.59963881907905,0.942,0.159,0,"X12_CD14Mono_InterM","RNF130"
"CST3",0,3.44274109454416,1,0.124,0,"X12_CD14Mono_InterM","CST3"
"FTH1",0,3.41112005426603,0.993,0.2,0,"X12_CD14Mono_InterM","FTH1"
"LGALS2",0,3.36610878437822,0.927,0.075,0,"X12_CD14Mono_InterM","LGALS2"
"BLVRA",0,3.31980994047062,0.71,0.124,0,"X12_CD14Mono_InterM","BLVRA"
"FGR",0,3.26718684988965,0.889,0.179,0,"X12_CD14Mono_InterM","FGR"
"CFP",0,3.2370584966976,0.934,0.13,0,"X12_CD14Mono_InterM","CFP"
"FCGR2A",0,3.22804348864951,0.841,0.094,0,"X12_CD14Mono_InterM","FCGR2A"
"TMEM176A",0,3.22630251206941,0.712,0.066,0,"X12_CD14Mono_InterM","TMEM176A"
"HNMT",0,3.22010583256875,0.675,0.068,0,"X12_CD14Mono_InterM","HNMT"
"FCGRT",0,3.18349017176304,0.977,0.197,0,"X12_CD14Mono_InterM","FCGRT"
"CTSB",0,3.1810943339877,0.917,0.184,0,"X12_CD14Mono_InterM","CTSB"
"NAGK",0,3.1805232623677,0.924,0.196,0,"X12_CD14Mono_InterM","NAGK"
"IFNGR1",0,2.95209157601989,0.814,0.188,0,"X12_CD14Mono_InterM","IFNGR1"
"MPEG1",0,2.83690657346553,0.981,0.131,0,"X12_CD14Mono_InterM","MPEG1"
"FGL2",0,2.76459069401007,0.995,0.147,0,"X12_CD14Mono_InterM","FGL2"
"LGALS3",0,2.72378464368834,0.953,0.155,0,"X12_CD14Mono_InterM","LGALS3"
"FCN1",0,2.72062365998453,1,0.115,0,"X12_CD14Mono_InterM","FCN1"
"AP2S1",0,2.64223630840077,0.826,0.317,0,"X12_CD14Mono_InterM","AP2S1"
"H2AFY",0,2.59620248059319,0.907,0.296,0,"X12_CD14Mono_InterM","H2AFY"
"MS4A6A",0,2.5593871071641,0.977,0.103,0,"X12_CD14Mono_InterM","MS4A6A"
"PLEKHO1",0,2.54620335275635,0.94,0.247,0,"X12_CD14Mono_InterM","PLEKHO1"
"S100A9",0,2.51896186958807,0.982,0.108,0,"X12_CD14Mono_InterM","S100A9"
"CD36",0,2.51692958296705,0.934,0.094,0,"X12_CD14Mono_InterM","CD36"
"CD14",0,2.5041009509674,0.96,0.095,0,"X12_CD14Mono_InterM","CD14"
"ANXA5",0,2.49235322685595,0.938,0.27,0,"X12_CD14Mono_InterM","ANXA5"
"CTSZ",0,2.42437460032542,0.954,0.211,0,"X12_CD14Mono_InterM","CTSZ"
"RP11-1143G9.4",0,2.42280662188418,0.893,0.092,0,"X12_CD14Mono_InterM","RP11-1143G9.4"
"CSTA",0,2.3853985044147,0.93,0.106,0,"X12_CD14Mono_InterM","CSTA"
"PRELID1",0,2.3532486234184,0.884,0.385,0,"X12_CD14Mono_InterM","PRELID1"
"CALM2",0,2.34574509931513,0.879,0.365,0,"X12_CD14Mono_InterM","CALM2"
"BLVRB",0,2.3114167785703,0.877,0.142,0,"X12_CD14Mono_InterM","BLVRB"
"CD68",0,2.30589216329823,0.955,0.116,0,"X12_CD14Mono_InterM","CD68"
"PPT1",0,2.28359520372344,0.824,0.174,0,"X12_CD14Mono_InterM","PPT1"
"SDCBP",0,2.27564105013463,0.886,0.273,0,"X12_CD14Mono_InterM","SDCBP"
"RAC1",0,2.27389901494811,0.909,0.38,0,"X12_CD14Mono_InterM","RAC1"
"CYBB",0,2.25668243721399,0.984,0.155,0,"X12_CD14Mono_InterM","CYBB"
"NEAT1",0,2.18385141779224,0.993,0.206,0,"X12_CD14Mono_InterM","NEAT1"
"LCP1",0,2.16901081251588,0.933,0.361,0,"X12_CD14Mono_InterM","LCP1"
"LYZ",0,2.16808174535398,1,0.108,0,"X12_CD14Mono_InterM","LYZ"
"SAMHD1",0,2.16200034166463,0.958,0.326,0,"X12_CD14Mono_InterM","SAMHD1"
"CD33",0,2.15636146614409,0.763,0.079,0,"X12_CD14Mono_InterM","CD33"
"SMCO4",0,2.12494083582153,0.67,0.089,0,"X12_CD14Mono_InterM","SMCO4"
"JAML",0,2.11224847609239,0.953,0.209,0,"X12_CD14Mono_InterM","JAML"
"TPP1",0,2.10491538973403,0.802,0.173,0,"X12_CD14Mono_InterM","TPP1"
"SAT1",0,2.09426494139331,0.959,0.216,0,"X12_CD14Mono_InterM","SAT1"
"HLA-DRA",0,2.07275825563881,0.976,0.206,0,"X12_CD14Mono_InterM","HLA-DRA"
"S100A8",0,1.91941231097824,0.945,0.093,0,"X12_CD14Mono_InterM","S100A8"
"GSTP1",0,1.89944563170371,0.958,0.313,0,"X12_CD14Mono_InterM","GSTP1"
"C1orf162",0,1.89081614531547,0.847,0.356,0,"X12_CD14Mono_InterM","C1orf162"
"OGFRL1",0,1.8237033970246,0.881,0.127,0,"X12_CD14Mono_InterM","OGFRL1"
"EVI2B",0,1.81568341899803,0.896,0.375,0,"X12_CD14Mono_InterM","EVI2B"
"GLIPR1",0,1.80329214135568,0.88,0.299,0,"X12_CD14Mono_InterM","GLIPR1"
"GNAI2",0,1.7270236784133,0.939,0.331,0,"X12_CD14Mono_InterM","GNAI2"
"ARRB2",0,1.7217089634208,0.857,0.286,0,"X12_CD14Mono_InterM","ARRB2"
"PYCARD",0,1.70505397753894,0.939,0.297,0,"X12_CD14Mono_InterM","PYCARD"
"ARPC1B",0,1.64325401007547,0.955,0.365,0,"X12_CD14Mono_InterM","ARPC1B"
"C10orf54",0,1.61298471476639,0.913,0.321,0,"X12_CD14Mono_InterM","C10orf54"
"MNDA",0,1.57675378017615,0.991,0.122,0,"X12_CD14Mono_InterM","MNDA"
"CD44",0,1.56678211161663,0.846,0.379,0,"X12_CD14Mono_InterM","CD44"
"RHOA",0,1.55187889258485,0.867,0.391,0,"X12_CD14Mono_InterM","RHOA"
"GPX1",0,1.52823238055745,0.964,0.257,0,"X12_CD14Mono_InterM","GPX1"
"ACTR2",0,1.51945809279962,0.887,0.38,0,"X12_CD14Mono_InterM","ACTR2"
"TIMP2",0,1.45977546166866,0.853,0.101,0,"X12_CD14Mono_InterM","TIMP2"
"LAPTM5",0,1.44187363999121,0.911,0.4,0,"X12_CD14Mono_InterM","LAPTM5"
"LAP3",0,1.43902614445468,0.757,0.155,0,"X12_CD14Mono_InterM","LAP3"
"HLA-DRB1",0,1.4122693969993,0.954,0.213,0,"X12_CD14Mono_InterM","HLA-DRB1"
"NCF2",0,1.40306245164801,0.956,0.121,0,"X12_CD14Mono_InterM","NCF2"
"HLA-DPA1",0,1.37319305402851,0.928,0.217,0,"X12_CD14Mono_InterM","HLA-DPA1"
"ATP6V0B",0,1.37152912363305,0.892,0.295,0,"X12_CD14Mono_InterM","ATP6V0B"
"H3F3A",0,1.3139152640713,0.914,0.386,0,"X12_CD14Mono_InterM","H3F3A"
"BRI3",0,1.30465899361502,0.981,0.264,0,"X12_CD14Mono_InterM","BRI3"
"FKBP1A",0,1.30047893092524,0.844,0.343,0,"X12_CD14Mono_InterM","FKBP1A"
"OAZ1",0,1.29766055271939,0.966,0.345,0,"X12_CD14Mono_InterM","OAZ1"
"LY86",0,1.28189390818033,0.815,0.129,0,"X12_CD14Mono_InterM","LY86"
"PABPC1",0,1.26471202563468,0.888,0.427,0,"X12_CD14Mono_InterM","PABPC1"
"GRN",0,1.18187451831923,0.984,0.167,0,"X12_CD14Mono_InterM","GRN"
"PSAP",0,1.16503016590734,0.999,0.158,0,"X12_CD14Mono_InterM","PSAP"
"ARPC3",0,1.15738814622436,0.898,0.383,0,"X12_CD14Mono_InterM","ARPC3"
"MYO1F",0,1.05129941857111,0.91,0.335,0,"X12_CD14Mono_InterM","MYO1F"
"FTL",0,1.03896400025321,0.996,0.149,0,"X12_CD14Mono_InterM","FTL"
"ITGB2",0,1.03521516346254,0.963,0.331,0,"X12_CD14Mono_InterM","ITGB2"
"SRGN",0,0.996268815855582,0.965,0.313,0,"X12_CD14Mono_InterM","SRGN"
"ANXA2",0,0.977995884681842,0.903,0.309,0,"X12_CD14Mono_InterM","ANXA2"
"ALDH2",0,0.947940092219134,0.85,0.095,0,"X12_CD14Mono_InterM","ALDH2"
"ASAH1",0,0.945120378727974,0.827,0.215,0,"X12_CD14Mono_InterM","ASAH1"
"VCAN",0,0.925767248704016,0.914,0.091,0,"X12_CD14Mono_InterM","VCAN"
"S100A11",0,0.911575718708676,0.992,0.287,0,"X12_CD14Mono_InterM","S100A11"
"SNX10",0,0.856289182404446,0.83,0.16,0,"X12_CD14Mono_InterM","SNX10"
"RXRA",0,0.722675937561881,0.847,0.107,0,"X12_CD14Mono_InterM","RXRA"
"CFD",0,0.707860469251045,0.967,0.134,0,"X12_CD14Mono_InterM","CFD"
"LILRB2",0,0.642984926005735,0.873,0.099,0,"X12_CD14Mono_InterM","LILRB2"
"ACTB",0,0.628256070891247,0.99,0.339,0,"X12_CD14Mono_InterM","ACTB"
"AP1S2",0,0.591127978374132,0.961,0.272,0,"X12_CD14Mono_InterM","AP1S2"
"FCGR1A",0,0.458781956438143,0.593,0.046,0,"X12_CD14Mono_InterM","FCGR1A"
"TSPO",0,0.405198565054269,0.95,0.294,0,"X12_CD14Mono_InterM","TSPO"
"POU2F2",0,0.359647210387202,0.907,0.283,0,"X12_CD14Mono_InterM","POU2F2"
"DMXL2",0,0.293731833230071,0.859,0.097,0,"X12_CD14Mono_InterM","DMXL2"
"LILRA2",0,0.283440542137567,0.714,0.084,0,"X12_CD14Mono_InterM","LILRA2"
"CASP1",9.88131291682493e-324,0.326628919957086,0.82,0.256,2.96439387504748e-320,"X12_CD14Mono_InterM","CASP1"
"DPYSL2",2.47032822920623e-323,0.588588111329526,0.743,0.118,7.4109846876187e-320,"X12_CD14Mono_InterM","DPYSL2"
"MAFB",1.27715969449962e-320,3.30259511194984,0.724,0.066,3.83147908349887e-317,"X12_CD14Mono_InterM","MAFB"
"HLA-DMB",5.05100503227982e-316,1.22598988284526,0.89,0.193,1.51530150968394e-312,"X12_CD14Mono_InterM","HLA-DMB"
"LGALS9",7.96725748527897e-314,0.446524069686083,0.739,0.137,2.39017724558369e-310,"X12_CD14Mono_InterM","LGALS9"
"VIM",3.43821707569332e-313,2.0532703523082,0.887,0.346,1.031465122708e-309,"X12_CD14Mono_InterM","VIM"
"LTA4H",3.26357263177831e-312,1.00841289348427,0.824,0.222,9.79071789533493e-309,"X12_CD14Mono_InterM","LTA4H"
